R,G,B,O,Y,B
209,121,176,268,562,452
212,127,176,275,559,460
212,127,175,272,559,459
213,128,175,274,558,462
213,130,175,274,558,462
213,130,174,274,558,463
213,129,173,272,558,461
213,130,175,276,557,464
214,132,175,276,557,463
214,131,174,275,556,465
214,131,173,275,556,465
214,132,173,275,556,465
214,132,173,276,555,466
215,132,170,275,554,469
214,132,170,274,554,468
215,133,172,276,555,467
214,132,173,275,555,466
214,132,173,276,555,466
214,132,172,274,556,466
214,132,172,275,555,467
214,132,172,274,555,467
214,131,172,272,556,464
212,126,167,268,554,466
213,128,165,266,554,466
213,127,165,265,554,464
213,129,168,268,555,464
212,124,164,261,555,462
212,124,167,264,556,461
211,124,166,263,556,461
211,124,166,262,556,460
211,122,165,261,556,460
212,124,165,263,555,462
211,124,165,261,555,461
211,123,164,261,554,462
211,123,162,259,554,462
211,123,162,261,553,464
211,123,162,260,553,463
211,123,162,261,553,464
212,124,162,260,553,463
212,124,162,261,552,465
211,123,161,259,553,464
212,125,160,261,551,468
213,127,161,263,551,469
213,127,161,262,551,469
213,127,160,261,551,468
213,126,163,265,551,468
212,126,163,264,552,467
212,126,163,263,553,465
212,126,164,264,553,466
212,126,164,265,552,467
213,128,164,266,551,467
212,127,163,264,552,466
212,126,163,264,551,466
212,127,163,266,550,468
212,128,164,266,551,467
212,128,164,266,551,467
212,128,165,267,551,467
212,128,165,267,551,467
213,130,165,269,550,468
213,130,165,269,550,469
213,131,166,270,550,469
213,129,166,269,551,468
214,131,163,268,548,472
214,131,163,269,548,471
214,132,164,270,548,472
214,131,164,269,548,472
213,130,163,267,549,470
213,129,163,268,548,471
848,445,1057,1281,2901,1962
851,443,1055,1278,2907,1965
848,440,1053,1273,2906,1962
850,439,1049,1268,2914,1966
837,431,1043,1251,2912,1957
858,442,1032,1262,2915,1978
841,429,1006,1245,2861,1955
852,438,1017,1258,2917,1989
884,454,1030,1285,2933,2010
865,442,1033,1262,2921,1976
850,436,1038,1245,2922,1959
840,425,1035,1244,2937,1971
862,441,1041,1266,2920,1977
855,435,1033,1253,2943,1985
871,437,1025,1248,2966,2005
850,426,1024,1242,2965,1998
865,431,1018,1232,2982,2005
863,426,1019,1218,2983,1993
858,425,1013,1236,3001,2027
879,432,1000,1228,3028,2051
868,423,1011,1211,3013,2013
851,419,1023,1217,2987,1993
818,409,1032,1205,2942,1949
817,413,1033,1208,2928,1943
806,410,1037,1211,2922,1939
812,412,1038,1216,2927,1945
803,408,1035,1200,2917,1929
807,410,1038,1208,2918,1934
793,405,1037,1206,2914,1931
792,405,1039,1199,2911,1924
775,397,1040,1194,2903,1913
791,405,1038,1191,2903,1914
775,396,1034,1179,2907,1910
771,394,1034,1176,2907,1908
748,388,1037,1173,2884,1891
755,391,1038,1173,2877,1887
746,388,1038,1172,2880,1889
749,388,1034,1167,2886,1891
751,388,1037,1172,2890,1895
768,396,1038,1172,2875,1886
743,387,1040,1177,2875,1887
750,392,1040,1172,2860,1876
736,386,1043,1171,2859,1872
735,386,1043,1168,2857,1870
734,387,1045,1167,2823,1851
733,388,1044,1168,2837,1858
715,382,1049,1171,2809,1843
711,386,1049,1163,2784,1823
692,380,1051,1164,2781,1822
700,385,1052,1167,2765,1814
682,379,1048,1149,2736,1792
663,372,1048,1139,2723,1782
659,375,1052,1152,2696,1774
662,377,1052,1151,2692,1771
657,377,1051,1155,2678,1767
662,379,1053,1155,2696,1775
650,374,1056,1163,2708,1783
642,371,1050,1140,2669,1756
628,368,1047,1135,2649,1746
627,368,1049,1138,2648,1746
626,368,1053,1142,2653,1750
624,370,1054,1140,2629,1738
613,369,1060,1150,2618,1736
621,376,1069,1162,2612,1736
634,384,1082,1190,2625,1751
643,390,1095,1212,2627,1756
665,406,1118,1260,2630,1769
690,427,1136,1306,2629,1786
716,451,1147,1353,2619,1805
714,465,1153,1373,2606,1809
744,489,1166,1413,2620,1838
759,508,1175,1436,2626,1854
767,520,1181,1456,2625,1865
775,529,1184,1459,2620,1864
792,543,1188,1475,2637,1881
779,535,1189,1465,2622,1867
789,545,1196,1488,2637,1887
801,554,1231,1523,2719,1942
785,548,1230,1518,2675,1918
808,658,1098,1547,2282,1870
636,393,616,895,1801,1416
658,394,603,920,1844,1477
709,460,635,1008,1864,1549
727,481,623,977,1867,1525
720,470,626,990,1857,1534
720,482,607,984,1848,1546
712,477,603,979,1840,1545
713,488,619,987,1844,1535
713,487,610,988,1843,1545
713,477,607,971,1843,1529
711,474,609,971,1843,1528
710,467,609,968,1844,1523
706,466,611,964,1839,1517
701,455,615,957,1840,1504
693,444,625,948,1838,1478
687,430,620,935,1836,1467
681,425,627,932,1833,1454
677,412,618,916,1831,1446
677,409,611,912,1834,1451
679,406,604,908,1834,1455
675,403,596,896,1830,1452
679,398,590,885,1831,1447
677,396,595,885,1831,1439
668,382,599,875,1826,1420
664,382,598,880,1825,1427
664,379,596,868,1825,1415
657,370,587,846,1818,1397
652,359,595,852,1817,1390
644,363,612,858,1811,1372
636,353,605,843,1806,1362
636,355,602,839,1806,1359
632,345,602,832,1805,1352
633,343,590,824,1803,1357
632,342,586,821,1802,1359
633,343,585,819,1802,1357
628,335,581,811,1801,1350
627,334,578,804,1799,1347
625,329,568,787,1795,1337
620,324,571,788,1793,1333
616,320,570,782,1790,1327
614,316,556,762,1783,1313
610,312,559,764,1783,1313
606,309,560,762,1783,1309
606,308,561,762,1783,1308
603,304,556,749,1779,1296
599,301,556,746,1775,1290
592,297,555,741,1772,1284
588,293,550,733,1767,1280
585,292,554,734,1767,1275
581,289,548,722,1760,1264
572,282,542,717,1758,1263
575,285,537,706,1752,1254
560,275,544,700,1743,1233
555,273,536,690,1739,1229
552,269,536,691,1741,1231
558,273,531,689,1742,1235
556,271,533,695,1746,1243
559,272,525,682,1739,1234
552,267,526,681,1740,1234
554,268,522,678,1738,1232
553,267,526,681,1739,1231
552,267,523,677,1736,1229
550,266,527,681,1739,1231
550,267,526,679,1736,1228
550,267,530,683,1738,1228
552,268,525,679,1736,1227
552,268,527,683,1740,1233
556,270,525,676,1734,1225
544,264,534,671,1724,1201
538,262,528,671,1727,1210
542,263,530,674,1729,1214
539,261,530,673,1728,1211
544,264,529,676,1731,1216
543,262,532,676,1734,1216
543,262,528,671,1730,1212
540,261,527,670,1729,1212
