R,G,B,O,Y,B
217,359,705,823,791,415
218,360,706,826,789,415
218,358,697,815,794,417
218,352,699,814,791,410
216,354,705,823,783,407
217,353,704,820,789,408
213,357,710,823,789,409
216,356,712,827,784,405
210,358,717,833,773,400
210,361,719,834,772,399
208,359,719,833,771,397
206,359,721,835,767,394
206,358,718,830,774,396
207,353,719,829,774,393
206,354,722,832,769,390
206,354,719,831,771,393
205,358,720,833,768,394
205,359,722,836,761,390
202,359,724,838,760,390
200,360,727,839,760,389
197,358,728,840,749,383
194,357,730,839,753,381
194,353,726,834,750,377
197,352,727,834,759,382
195,352,728,835,757,379
196,359,723,839,753,387
197,364,726,846,738,383
183,361,725,839,714,366
186,361,729,842,722,371
169,356,723,834,703,360
173,351,730,839,725,366
185,351,727,835,729,365
178,352,725,834,720,362
186,350,729,836,737,368
193,350,734,837,757,375
190,350,731,836,733,366
181,350,729,836,730,365
187,351,730,836,734,367
177,348,728,834,724,362
176,347,727,831,718,359
177,347,727,832,722,359
179,347,727,831,717,357
179,347,726,831,719,359
176,347,726,831,719,359
175,346,726,830,716,357
169,343,718,820,692,346
158,338,718,822,694,347
164,342,721,824,697,349
168,342,724,826,705,351
164,341,724,825,705,350
167,341,723,824,703,349
160,337,721,822,697,347
167,341,723,823,701,348
162,338,722,821,698,346
163,337,719,819,695,345
160,335,715,815,690,341
160,333,713,812,687,339
157,332,714,814,689,340
162,335,715,814,691,342
655,1002,2120,2437,2469,1243
656,1002,2120,2440,2472,1248
655,999,2116,2431,2469,1242
653,992,2107,2425,2467,1245
652,990,2105,2416,2465,1237
652,989,2108,2420,2466,1238
648,982,2109,2409,2463,1228
648,982,2104,2409,2463,1234
647,976,2090,2393,2459,1229
649,977,2086,2393,2460,1234
650,977,2089,2391,2461,1230
650,978,2095,2408,2465,1241
652,983,2093,2400,2462,1234
648,973,2087,2386,2459,1226
645,963,2078,2372,2455,1220
640,952,2069,2357,2451,1213
646,966,2075,2373,2455,1225
645,962,2072,2366,2453,1220
645,962,2077,2374,2455,1223
644,961,2075,2370,2454,1221
648,969,2081,2383,2458,1231
646,966,2077,2379,2456,1230
650,974,2078,2389,2459,1238
650,974,2086,2396,2460,1238
654,985,2097,2415,2464,1244
654,1000,2148,2465,2472,1242
657,1014,2147,2467,2473,1245
653,1003,2133,2440,2467,1232
653,999,2134,2455,2471,1247
657,1011,2133,2448,2470,1240
656,1008,2129,2453,2471,1250
656,1004,2122,2439,2468,1242
653,996,2116,2432,2466,1244
654,997,2112,2428,2465,1241
653,994,2112,2433,2466,1246
655,1001,2116,2437,2466,1246
654,999,2114,2442,2467,1252
656,1001,2108,2434,2466,1251
658,1008,2115,2443,2468,1252
658,1007,2115,2444,2467,1253
657,1003,2118,2443,2467,1251
657,1007,2115,2442,2467,1251
656,999,2106,2426,2464,1244
658,1003,2115,2449,2468,1257
659,1010,2121,2450,2468,1253
660,1013,2121,2456,2469,1259
660,1012,2119,2446,2467,1252
661,1014,2124,2454,2470,1255
658,1005,2120,2443,2467,1248
660,1009,2116,2440,2466,1248
655,995,2103,2425,2464,1245
658,1002,2106,2433,2466,1251
656,998,2109,2436,2468,1251
147,290,611,692,605,303
148,290,614,693,613,303
150,288,617,692,617,302
146,282,618,690,620,300
147,282,616,691,613,300
145,286,617,690,612,299
148,284,619,690,618,299
144,282,619,690,615,297
145,282,619,688,613,296
144,280,617,687,611,294
142,279,618,686,611,293
141,276,620,686,614,292
142,276,620,684,614,291
138,273,618,682,610,288
137,272,619,681,611,288
137,271,619,680,610,286
137,270,619,679,612,287
135,269,619,679,610,286
134,268,619,678,610,284
134,267,619,677,609,284
133,267,618,676,606,283
133,267,618,675,607,283
133,266,618,674,606,282
132,265,619,675,609,283
135,266,620,675,611,283
133,265,620,676,612,284
135,267,621,679,615,286
136,268,619,678,613,285
135,266,621,676,611,284
133,265,619,676,609,283
133,265,619,675,608,283
133,265,621,676,610,283
133,265,621,676,610,283
133,265,620,676,610,283
132,264,620,676,608,282
132,265,620,675,607,282
131,264,619,674,604,281
131,264,619,674,606,281
130,263,618,673,603,280
129,263,619,673,603,280
129,263,619,672,604,280
129,263,617,672,603,280
129,263,619,673,605,280
130,263,617,673,603,280
129,263,618,674,604,281
131,264,618,674,604,281
131,264,619,675,607,282
132,264,619,674,607,281
130,263,619,674,607,281
131,264,620,674,607,281
130,262,618,671,605,280
131,262,620,674,611,282
131,263,620,673,608,281
131,263,618,672,605,280
129,262,619,672,603,279
129,262,620,671,606,279
128,260,619,670,603,278
128,260,620,670,607,279
130,260,619,670,611,280
130,261,620,673,611,281
131,262,621,673,610,281
131,262,621,673,610,281
131,262,621,674,611,282
131,263,619,674,608,282
131,263,619,674,607,281
131,263,620,674,609,282
132,263,621,674,610,282
131,263,619,673,607,281
130,263,620,673,608,281
131,263,621,673,608,281
132,263,620,674,609,281
131,263,619,673,607,281
131,263,621,673,609,281
131,263,620,674,608,281
130,262,621,674,610,281
130,261,620,672,609,280
130,262,619,671,605,280
129,262,620,672,606,280
130,262,619,672,606,280
131,262,621,673,611,281
132,262,621,674,611,282
131,262,620,673,609,281
130,262,619,673,608,281
131,263,620,673,608,281
241,536,1135,1297,1078,542
235,529,1132,1289,1074,536
242,529,1139,1296,1087,540
244,530,1140,1296,1089,540
242,526,1142,1292,1090,537
236,520,1150,1305,1109,547
264,544,1158,1324,1128,563
274,551,1169,1333,1152,571
271,549,1168,1331,1148,569
277,550,1174,1336,1164,575
276,545,1177,1335,1169,573
278,545,1175,1334,1165,571
277,545,1175,1333,1164,570
277,542,1176,1327,1162,565
276,540,1176,1330,1166,567
277,540,1180,1332,1172,570
278,541,1179,1334,1171,571
279,542,1180,1334,1174,571
276,539,1178,1329,1168,567
274,537,1180,1330,1172,567
279,536,1182,1329,1177,567
280,538,1181,1333,1179,570
277,538,1180,1330,1173,568
277,537,1182,1329,1177,567
278,539,1180,1329,1172,567
276,537,1181,1331,1174,569
276,537,1179,1329,1170,566
276,536,1181,1329,1174,567
277,537,1183,1332,1178,570
278,538,1184,1332,1178,570
276,537,1185,1330,1177,567
276,536,1185,1331,1180,569
281,539,1185,1332,1182,569
278,536,1185,1331,1181,569
280,537,1188,1337,1191,575
284,541,1187,1337,1191,576
287,546,1181,1340,1183,579
287,548,1184,1342,1188,581
288,549,1184,1343,1189,582
288,548,1184,1342,1188,582
288,549,1184,1342,1187,582
287,549,1182,1344,1186,583
292,553,1182,1347,1188,587
291,556,1181,1347,1185,587
289,554,1181,1344,1183,584
288,554,1180,1345,1181,585
289,555,1180,1346,1185,586
290,553,1180,1343,1183,584
289,554,1179,1342,1183,582
287,550,1179,1341,1181,581
289,551,1181,1343,1187,583
290,552,1180,1344,1184,585
288,552,1180,1342,1182,583
289,551,1180,1343,1185,584
291,553,1180,1342,1183,583
289,549,1182,1342,1188,584
290,553,1178,1344,1181,585
293,557,1180,1347,1187,589
293,556,1178,1346,1183,588
292,555,1178,1345,1184,587
291,554,1178,1344,1183,586
291,553,1180,1345,1189,587
291,554,1178,1342,1181,584
290,553,1178,1343,1182,585
290,553,1177,1342,1180,583
290,553,1179,1344,1185,586
292,554,1179,1344,1185,586
292,554,1180,1344,1186,586
293,553,1179,1344,1187,586
293,553,1179,1345,1189,588
294,555,1181,1347,1193,590
295,554,1181,1347,1192,590
297,556,1181,1348,1193,591
297,557,1181,1349,1195,593
298,557,1181,1348,1193,592
298,557,1181,1348,1194,592
299,558,1182,1350,1196,594
299,558,1183,1350,1196,593
298,558,1182,1351,1195,595
298,561,1181,1351,1191,593
297,559,1182,1351,1192,593
297,560,1179,1349,1190,592
296,559,1180,1350,1192,593
297,559,1181,1350,1192,594
296,559,1178,1348,1187,591
297,560,1178,1349,1188,593
297,560,1178,1351,1188,596
246,467,941,1095,952,491
251,469,949,1103,962,493
249,476,906,1075,871,467
236,462,958,1101,997,499
260,455,963,1097,988,487
251,449,968,1097,992,484
252,447,969,1099,993,484
244,446,968,1095,982,478
243,445,967,1091,974,472
242,444,968,1095,980,477
237,441,966,1086,966,466
238,439,967,1087,970,467
233,436,966,1084,967,464
232,435,966,1083,967,463
228,430,965,1077,962,457
226,424,968,1075,970,456
225,421,965,1069,962,450
221,419,964,1067,957,449
218,418,964,1066,958,447
219,416,964,1062,956,444
213,411,962,1058,949,441
209,410,959,1055,941,438
208,409,959,1051,940,436
208,406,961,1052,948,437
207,403,961,1051,950,437
209,404,963,1053,954,438
210,404,964,1051,953,437
207,403,963,1050,952,437
209,404,964,1053,955,439
208,402,964,1046,952,434
203,399,959,1042,942,431
199,396,957,1038,936,428
199,395,957,1037,939,428
195,391,953,1029,932,423
192,389,955,1029,933,423
189,387,953,1025,929,421
188,385,953,1027,932,422
191,388,952,1026,927,421
187,385,948,1018,920,417
194,388,956,1029,932,422
192,390,959,1036,937,426
187,392,951,1031,920,422
191,394,952,1034,921,424
190,396,948,1033,913,422
182,393,937,1022,891,416
177,389,939,1019,894,415
174,384,931,1007,881,409
172,382,933,1007,884,409
173,381,935,1008,890,410
171,380,931,1005,882,408
171,382,932,1008,882,409
173,382,931,1006,882,408
172,382,931,1005,880,408
167,378,926,999,873,405
169,380,931,1007,882,409
168,380,926,1001,871,406
167,380,923,999,868,404
166,379,924,1000,869,405
165,379,922,1000,868,405
167,382,922,1001,866,406
165,380,925,1003,872,407
169,383,923,1002,869,406
168,381,924,1003,871,407
169,383,922,1001,865,406
164,380,917,996,857,403
165,380,919,995,859,403
