0.23,0.73,0.66,0.55,0.39,0.35
0.47,0.49,0.66,0.74,0.77,0.70
0.23,0.24,0.44,0.37,0.39,0.35
0.23,0.49,0.44,0.37,0.39,0.35
0.23,0.73,0.66,0.55,0.39,0.35
0.47,0.49,0.66,0.74,0.77,0.70
1.86,1.95,2.85,2.77,2.89,2.11
8.15,3.89,10.51,9.99,10.99,4.22
8.85,6.57,13.36,11.47,9.26,2.81
2.10,12.89,5.48,13.69,2.51,2.64
1.63,20.19,8.10,21.08,3.66,2.99
1.40,17.27,6.57,5.55,3.09,1.93
1.40,13.86,7.23,6.47,3.47,2.46
3.73,53.26,18.62,44.02,9.26,26.53
94.33,25.29,55.42,32.74,164.66,11.77
14.21,12.65,16.43,11.65,40.49,4.04
28.18,71.51,251.03,127.80,119.35,36.01
10.71,35.75,125.51,34.59,26.61,7.03
15.37,6.81,28.91,16.28,22.56,2.11
28.18,8.03,31.76,14.06,36.44,3.51
29.81,19.46,129.24,36.62,103.73,7.03
19.57,21.65,94.19,73.80,41.07,5.62
7.22,28.70,35.70,22.75,14.08,5.97
1.63,4.62,15.99,10.54,6.36,1.58
2.10,6.57,39.65,13.50,11.38,2.64
2.33,7.54,26.07,21.64,8.10,1.93
10.48,14.84,20.59,18.13,8.87,2.99
13.51,8.76,19.93,17.02,14.08,1.93
1.16,5.35,14.90,11.28,3.09,1.58
1.16,4.13,16.65,8.14,3.09,1.41
0.70,2.43,3.29,2.03,1.93,0.70
0.47,1.22,2.19,1.48,1.35,0.70
0.47,1.22,2.41,1.29,3.28,0.70
2.10,1.22,1.75,1.29,3.47,1.05
1.16,1.22,2.19,1.85,2.31,1.41
1.16,1.22,2.19,1.85,2.12,1.41
1.16,1.22,2.19,1.85,2.12,1.58
3.96,1.46,4.16,2.96,4.82,1.76
5.36,2.19,5.91,5.18,5.59,2.81
2.56,2.19,3.94,2.40,7.33,0.88
0.93,2.68,4.60,3.14,3.47,1.05
8.85,3.41,14.02,9.99,12.73,2.64
13.28,14.84,12.92,15.72,10.41,6.85
13.51,14.11,6.79,12.58,9.64,6.68
12.11,13.38,13.58,14.43,8.48,5.97
8.62,11.19,4.60,11.47,2.31,5.27
7.69,15.81,16.43,17.76,3.86,4.57
11.65,13.62,8.76,14.06,3.86,6.15
1.40,17.03,7.89,12.02,3.66,2.11
11.65,15.81,12.05,15.35,6.75,6.50
4.66,17.27,13.14,19.60,3.47,2.46
10.25,14.11,6.57,10.54,7.71,5.09
15.37,17.27,26.72,23.67,17.16,5.97
24.46,25.78,30.67,26.26,24.29,11.07
11.41,13.38,6.13,14.06,2.89,6.32
4.19,30.16,21.69,34.22,6.17,3.16
1.40,12.65,10.30,12.39,2.51,2.11
10.48,11.92,15.77,14.80,10.22,6.15
24.92,32.59,37.90,36.07,10.22,9.66
22.36,25.78,40.52,36.07,27.96,11.42
80.36,89.50,151.14,134.83,83.68,15.28
22.13,23.84,25.41,23.67,22.37,10.54
29.35,38.91,61.77,57.34,10.41,6.50
9.55,94.13,70.31,106.53,16.00,8.08
7.69,35.02,42.93,35.88,18.51,9.13
23.76,55.45,58.92,52.53,20.44,8.96
10.48,52.54,76.89,73.80,10.80,5.62
7.92,34.05,78.42,67.32,18.32,8.61
39.60,42.08,57.83,51.79,17.93,10.19
6.52,28.21,86.74,59.55,18.12,8.08
25.39,29.43,58.05,50.68,31.43,4.92
4.66,23.11,52.79,47.90,13.30,6.15
52.17,41.35,81.05,69.73,53.80,7.03
5.59,24.08,78.42,51.42,15.04,6.68
40.99,51.56,81.27,71.58,34.71,8.43
6.29,27.97,86.96,61.96,16.39,7.38
43.09,39.64,66.15,58.08,40.49,7.91
5.12,23.35,84.77,72.32,12.92,5.80
33.77,36.24,53.23,47.72,32.97,14.05
4.89,23.59,69.22,57.89,13.50,6.15
32.14,42.81,52.57,46.61,25.07,9.13
4.19,26.02,65.71,59.55,10.99,5.09
38.43,26.02,59.14,51.97,45.70,11.42
