0.47,0.97,1.31,1.48,1.54,1.05
0.70,0.97,1.10,1.11,1.16,0.88
0.93,0.97,0.88,1.11,1.16,0.88
0.93,1.22,0.88,1.11,1.16,0.88
0.93,0.97,1.10,1.11,1.16,0.88
0.70,0.97,1.10,1.11,1.16,0.88
0.47,0.97,1.31,1.29,1.35,1.05
0.47,0.97,1.31,1.48,1.35,1.05
0.47,0.97,1.53,1.66,1.54,1.05
0.47,0.97,1.53,1.66,1.74,1.05
0.47,1.22,1.75,1.85,1.74,1.23
0.70,1.22,2.19,2.40,2.31,1.41
1.86,1.95,4.60,4.62,5.01,2.64
10.95,4.86,24.97,20.34,23.33,6.68
13.98,9.00,30.01,19.42,40.68,9.13
3.26,6.81,15.33,13.69,27.38,6.50
0.93,3.16,6.57,5.92,6.75,3.16
0.70,2.43,6.35,5.92,6.75,3.34
1.63,5.11,10.73,10.17,11.38,5.62
1.40,4.86,10.73,10.17,11.57,5.62
1.63,5.11,10.95,10.73,11.76,5.97
2.33,7.30,16.65,15.72,17.55,8.61
9.08,8.76,21.03,19.24,42.61,9.49
20.96,9.00,17.96,16.65,36.44,8.26
4.19,4.13,8.54,7.95,12.53,4.22
4.19,3.65,8.76,8.14,14.85,4.22
8.39,5.11,12.05,11.28,19.28,5.80
6.06,6.57,15.77,15.17,21.79,7.73
37.97,11.67,26.94,23.86,56.69,12.30
24.22,8.76,26.50,18.87,40.88,8.78
20.96,7.78,20.37,16.83,38.37,8.08
22.59,9.73,25.63,22.38,53.41,10.72
24.92,11.67,26.07,23.30,55.53,11.07
10.25,8.76,23.00,18.87,42.81,8.96
9.78,9.49,30.67,22.19,51.67,10.36
19.80,12.16,46.66,28.67,69.61,13.00
27.48,14.59,44.25,29.59,72.11,13.53
10.02,7.54,16.21,14.80,32.97,7.20
7.92,5.11,12.70,11.47,25.07,5.62
12.11,5.35,11.83,10.91,23.91,5.45
5.12,3.89,8.32,7.77,11.57,4.04
0.47,1.95,4.16,3.70,4.63,2.11
0.47,2.19,5.91,5.36,6.36,2.99
1.16,4.38,11.17,10.17,11.57,5.27
1.16,4.13,9.20,8.51,9.83,4.57
0.93,3.41,8.10,7.58,8.68,4.04
