0.00,0.24,0.44,0.37,0.39,0.35
0.00,0.24,0.44,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.70
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.44,0.37,0.39,0.35
0.00,0.24,0.22,0.37,0.58,0.53
0.23,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.39,0.35
0.00,0.24,0.22,0.37,0.39,0.35
0.00,0.24,0.22,0.37,0.39,0.35
0.00,0.24,0.22,0.37,0.39,0.35
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.00,0.24,0.22,0.37,0.58,0.53
0.23,0.24,0.22,0.37,0.77,0.70
0.23,0.24,0.22,0.37,0.96,0.70
0.23,0.24,0.22,0.37,0.96,0.53
0.23,0.24,0.22,0.37,0.77,0.53
0.23,0.24,0.22,0.37,0.58,0.35
0.23,0.24,0.22,0.37,0.77,0.53
0.23,0.24,0.22,0.37,0.58,0.35
0.23,0.49,0.22,0.37,0.58,0.35
0.23,0.24,0.22,0.37,0.77,0.53
0.23,0.24,0.22,0.37,0.77,0.53
0.23,0.73,1.31,1.11,1.16,0.70
1.86,6.08,10.51,7.40,6.94,2.99
6.75,18.00,29.35,20.16,20.82,7.20
25.39,17.51,36.14,20.71,84.45,6.85
52.17,21.40,17.96,17.39,43.96,16.69
1.16,3.41,4.16,2.96,2.89,1.41
1.16,3.16,4.16,2.96,2.89,1.23
1.40,4.13,6.35,4.44,4.24,1.93
2.10,6.32,10.73,7.58,6.75,2.99
3.49,8.76,12.70,9.43,7.91,3.69
3.49,9.73,12.70,9.43,7.91,3.69
2.56,7.54,9.64,7.03,6.17,2.81
2.33,6.57,9.20,6.66,5.98,2.64
2.10,4.62,5.91,4.99,4.43,1.93
2.10,3.41,4.38,3.51,3.09,1.41
0.70,2.43,3.72,2.59,2.31,1.05
1.40,2.43,3.29,2.40,4.24,0.88
2.10,1.70,2.19,1.66,2.70,0.70
0.93,1.46,1.97,1.48,2.12,0.70
2.56,1.95,3.29,2.40,6.36,0.88
7.45,3.16,5.26,3.51,11.38,1.23
6.29,2.92,4.38,3.14,9.06,1.23
3.03,2.68,3.72,2.59,5.98,1.05
1.63,2.19,3.29,2.22,5.21,0.88
1.40,2.43,3.29,2.22,5.40,0.88
0.70,2.19,3.29,2.22,4.24,0.88
0.70,2.43,3.50,2.40,4.63,0.88
1.16,2.68,4.60,3.14,8.87,1.05
3.26,2.68,3.29,2.40,5.78,0.88
0.47,1.46,1.97,1.48,1.54,0.53
0.70,1.70,2.63,1.85,2.89,0.70
1.63,2.92,5.04,3.51,8.48,1.23
