0.70,1.70,1.75,1.48,1.35,0.88
2.56,2.92,2.85,2.40,2.70,1.58
4.19,3.65,3.72,3.33,5.01,2.81
4.19,3.65,4.60,4.25,5.98,3.51
7.22,5.84,12.27,12.02,15.43,7.38
6.52,5.84,11.61,10.91,12.73,5.97
5.59,3.89,9.20,8.69,11.76,5.62
4.89,3.89,7.45,7.40,9.26,4.92
3.49,2.92,5.70,5.73,6.94,4.04
3.73,3.16,7.01,6.84,7.91,4.39
4.19,3.65,8.10,7.58,8.87,4.57
4.19,3.65,8.32,7.58,8.68,4.39
4.19,3.65,7.01,6.47,8.29,3.86
3.49,3.16,5.04,4.62,6.56,3.34
3.49,2.92,3.94,3.51,4.82,2.81
3.03,2.68,3.07,2.59,3.28,1.93
2.80,2.43,2.85,2.40,2.89,1.76
2.80,2.43,3.07,2.59,3.47,1.93
2.80,2.43,3.50,2.96,4.43,2.28
2.56,2.19,3.72,3.33,5.01,2.46
2.56,2.19,4.16,4.07,5.40,2.46
2.33,2.19,4.60,4.25,5.21,2.46
2.56,2.19,4.60,4.44,5.59,2.81
3.49,2.43,5.48,5.18,6.94,3.51
4.19,3.16,5.70,5.73,7.13,4.04
3.49,2.92,5.04,4.99,6.36,3.86
5.59,5.35,7.23,7.95,7.91,24.59
10.02,31.62,8.32,9.62,6.94,41.63
7.69,45.00,8.76,12.58,6.36,30.22
6.99,43.54,10.95,14.98,6.94,27.76
6.06,46.94,9.20,16.46,5.01,27.05
3.73,41.83,3.72,14.80,3.66,17.04
2.33,35.27,3.50,13.87,3.47,11.42
9.55,52.78,3.72,31.81,3.86,36.36
18.63,64.70,8.54,56.23,4.05,24.94
49.38,87.32,77.98,147.41,100.84,79.93
77.10,65.43,4.60,73.24,34.32,90.47
58.00,39.89,4.38,30.89,13.88,70.79
67.08,26.75,88.93,70.10,143.65,7.73
51.01,75.40,57.39,128.36,31.24,50.42
24.92,66.40,14.46,94.14,4.24,33.03
19.33,48.40,74.26,91.00,13.88,16.51
23.06,44.75,73.82,94.51,14.46,20.38
28.88,50.83,78.86,100.80,19.67,24.42
22.83,55.70,18.84,91.00,4.05,27.76
12.58,54.48,5.26,76.02,3.47,24.24
8.15,53.99,5.04,76.20,3.66,24.77
7.22,48.89,4.60,62.88,3.86,20.90
3.03,36.00,4.82,42.72,3.66,7.91
1.63,14.59,4.60,11.10,3.47,1.76
1.86,14.84,3.50,13.87,2.89,1.58
1.40,6.81,3.29,9.62,2.51,1.23
1.86,6.57,2.63,4.44,1.93,1.23
4.89,7.05,1.75,4.62,1.54,2.99
0.70,1.22,1.53,1.85,1.35,0.88
0.70,6.57,1.75,4.07,1.35,1.93
0.47,0.97,1.97,2.22,1.93,0.88
1.16,4.86,1.97,4.81,2.31,7.91
21.43,44.51,3.50,66.21,4.24,41.98
40.99,76.37,4.82,93.77,8.48,61.31
54.50,85.37,6.57,105.24,10.41,74.31
50.31,90.96,12.27,107.27,9.83,69.21
37.03,98.75,26.07,70.28,22.56,49.89
30.98,89.50,20.15,64.36,17.93,47.25
25.62,87.80,6.35,106.16,4.82,60.61
26.32,90.23,5.91,92.66,5.21,84.32
81.99,83.42,115.44,145.37,82.14,90.12
83.38,77.83,95.72,134.65,52.64,92.23
47.98,87.32,14.68,107.09,5.78,89.24
47.75,75.88,21.03,93.03,5.78,79.05
43.32,42.56,20.37,52.53,11.76,64.29
54.97,41.83,31.54,61.96,58.42,67.98
79.66,64.70,100.76,127.43,113.57,74.83
8.39,1.95,71.19,4.99,79.44,2.11
0.93,0.97,3.07,1.66,8.68,1.05
1.16,1.22,1.53,1.66,2.31,1.41
1.16,0.97,1.53,1.48,2.12,1.23
1.63,1.46,6.13,3.88,14.27,2.64
3.03,2.43,9.64,6.10,8.10,3.34
3.96,18.24,120.04,29.96,58.42,10.72
9.55,5.84,4.38,5.73,5.40,24.24
2.80,2.92,4.16,4.99,4.43,3.86
2.80,2.43,3.07,3.70,4.43,3.86
2.10,1.46,2.63,3.14,4.24,3.51
9.08,3.65,4.16,5.55,7.13,56.39
15.84,9.49,3.50,4.99,5.59,59.38
2.33,1.95,2.63,3.14,3.66,3.16
1.86,1.70,2.19,2.59,3.09,2.81
1.40,1.46,1.97,2.40,2.51,2.28
1.16,1.46,1.75,2.03,2.12,1.93
1.16,1.22,0.66,0.74,0.58,0.53
0.70,0.49,0.44,0.37,0.39,0.35
0.70,0.24,0.44,0.37,0.77,0.53
0.70,0.49,0.44,0.55,0.19,0.35
0.70,1.22,0.66,0.92,0.39,0.53
1.40,1.70,1.31,1.48,0.96,0.70
2.10,0.97,2.41,1.85,1.93,0.53
3.49,3.16,3.94,3.51,2.31,0.88
3.49,3.65,6.13,5.18,3.47,0.88
3.73,4.62,9.42,7.95,2.89,1.58
5.82,6.32,12.05,10.17,4.05,1.58
6.06,6.57,14.46,11.47,3.47,1.76
6.52,7.05,15.99,12.76,3.66,1.76
8.15,8.51,18.40,13.13,4.63,2.28
14.67,14.59,22.34,13.13,8.68,3.86
19.10,18.97,31.76,16.46,10.41,4.57
17.93,18.24,38.77,19.05,9.83,4.39
21.20,21.40,63.31,46.42,12.53,5.27
23.29,20.92,58.05,45.31,22.75,4.92
23.99,22.38,67.03,48.27,16.20,5.62
38.90,38.91,79.08,40.87,23.91,10.36
59.16,58.37,79.30,49.75,32.20,13.53
45.65,44.51,86.09,38.84,24.49,10.19
34.70,34.54,84.11,45.87,18.51,8.08
37.03,38.67,77.98,50.86,20.05,9.13
37.50,38.91,89.15,57.52,19.47,8.78
32.38,33.32,87.62,46.24,17.74,7.38
26.32,26.75,58.92,26.08,14.08,6.15
19.80,19.70,42.93,26.26,10.80,5.09
18.40,18.97,24.97,18.50,10.22,5.27
13.74,15.32,13.58,11.65,7.33,4.57
7.22,8.76,7.89,6.66,4.63,3.69
4.19,4.62,5.04,5.55,5.01,4.22
3.26,3.89,4.82,4.07,3.09,2.64
4.89,5.59,8.98,8.51,2.70,1.41
5.82,6.08,10.73,6.10,3.28,1.58
6.75,6.81,8.32,5.36,3.86,1.58
7.22,6.81,8.76,5.73,4.24,1.76
7.69,7.30,10.08,6.10,4.43,1.76
9.32,8.51,11.61,7.58,5.59,2.28
12.81,11.67,14.90,9.99,7.52,2.81
13.74,12.40,15.99,10.36,7.91,2.99
16.30,14.84,20.81,12.95,9.83,3.69
22.36,20.67,27.16,17.57,13.11,4.92
19.10,17.75,21.47,13.87,10.41,4.04
13.74,12.65,16.43,9.99,7.52,2.99
10.95,10.22,17.09,8.51,6.36,2.46
10.48,9.97,15.33,8.32,5.98,2.46
11.18,10.46,14.02,8.88,6.56,2.64
12.34,11.67,15.77,9.62,6.94,2.81
11.65,11.19,21.47,9.43,6.75,2.64
12.11,11.67,25.19,10.17,7.13,2.81
13.04,12.40,21.47,10.36,7.13,2.99
10.95,10.46,23.66,9.06,5.98,2.46
10.02,9.73,20.15,8.32,5.78,2.28
10.02,9.49,17.09,7.95,5.59,2.28
9.32,9.00,17.30,7.40,5.40,2.11
9.78,9.49,17.96,8.14,5.78,2.28
10.71,10.46,17.52,8.69,6.17,2.46
10.25,9.73,16.43,8.14,5.78,2.28
9.78,9.24,16.65,7.77,5.59,2.28
8.62,8.03,21.47,7.21,5.40,2.11
9.32,8.76,18.40,7.95,5.59,2.28
12.81,12.65,15.11,10.54,7.33,2.99
5.36,5.11,9.20,3.70,2.70,1.05
2.33,2.19,5.48,2.22,1.74,0.70
6.06,5.84,10.73,6.29,4.43,1.93
18.87,18.48,25.63,15.72,10.60,4.39
9.78,9.24,20.15,7.21,5.21,2.11
6.06,5.59,11.83,4.99,4.05,1.58
4.89,4.62,10.95,5.36,5.40,1.41
3.26,2.68,6.35,2.59,5.01,0.88
3.03,2.68,7.01,2.77,2.70,0.88
5.36,5.11,15.33,5.55,4.24,1.76
17.70,16.54,38.11,12.39,9.26,3.34
5.59,5.11,12.92,4.44,4.43,1.41
8.62,8.03,12.70,7.77,5.98,2.46
12.11,8.27,22.34,19.60,29.12,11.42
6.99,6.32,19.71,16.65,19.47,7.91
11.18,11.19,20.59,10.36,7.52,3.34
20.03,20.19,31.10,20.16,12.34,5.45
19.10,19.21,19.06,14.06,9.06,4.04
10.25,10.70,11.61,8.69,5.59,2.64
11.18,11.19,17.52,10.54,6.75,2.99
24.22,23.35,56.51,22.01,14.27,5.80
12.58,12.16,24.97,10.36,6.36,2.64
13.28,13.38,25.63,13.87,8.48,3.69
27.48,25.05,68.12,42.91,33.16,5.09
15.37,12.65,36.36,27.00,14.27,3.16
18.17,17.03,45.56,29.22,13.30,4.22
22.13,9.24,21.90,18.13,17.16,2.28
16.07,8.27,25.63,21.27,14.27,2.46
9.55,9.49,19.28,15.54,5.40,2.11
5.12,4.62,10.08,7.95,3.09,1.23
3.49,3.41,7.45,4.62,2.12,0.88
3.26,3.16,6.13,3.33,2.31,1.05
12.11,11.92,36.58,14.61,8.10,3.16
6.75,6.08,13.58,10.36,6.17,1.41
7.45,7.30,23.66,9.43,5.59,2.28
13.04,12.40,19.28,8.14,5.78,2.28
6.06,5.35,17.52,8.32,5.01,1.76
92.47,87.32,130.77,88.59,68.45,25.12
13.51,12.65,23.66,7.95,6.56,2.46
7.22,6.57,18.40,6.66,5.01,1.93
19.80,18.97,36.14,17.39,12.15,4.92
16.77,16.05,35.49,13.32,9.06,3.51
11.18,11.19,27.38,11.28,6.36,2.64
10.02,9.24,26.94,12.02,6.36,2.46
9.55,8.76,22.12,9.06,8.48,1.93
5.59,5.11,13.58,4.44,4.43,1.41
5.36,4.86,12.49,7.40,7.13,1.41
6.06,5.35,15.33,5.92,8.68,1.58
15.61,13.86,37.46,11.47,11.18,3.51
4.89,4.38,9.64,3.70,7.13,1.05
4.89,4.13,12.70,8.14,6.36,1.41
16.07,16.05,30.01,16.28,10.41,4.57
20.73,19.21,52.13,36.81,19.86,4.22
12.11,9.97,24.75,19.60,12.73,2.28
10.71,10.22,33.51,20.53,7.91,2.99
38.90,36.73,112.59,32.74,26.80,8.78
12.81,10.46,25.85,17.20,16.39,2.28
15.37,14.35,46.00,16.46,11.18,4.22
20.26,18.97,44.47,17.76,11.38,3.86
12.34,6.57,16.65,13.69,13.11,1.76
14.91,13.86,52.79,18.87,11.57,4.39
29.11,26.75,59.36,19.24,14.27,5.09
14.44,11.19,25.19,20.71,14.46,2.46
15.61,14.11,41.40,12.76,10.80,3.69
16.07,13.13,32.42,26.45,19.28,2.99
7.92,6.81,15.55,7.77,9.26,1.58
4.66,2.92,6.79,4.62,5.40,0.88
6.29,4.13,14.24,10.54,8.87,1.41
17.24,16.05,43.59,22.93,10.99,3.69
8.15,3.89,7.89,6.47,6.17,1.05
6.29,4.38,13.80,10.36,8.48,1.41
12.11,11.19,28.04,19.97,11.76,2.64
10.48,5.59,12.27,10.17,9.64,1.41
11.18,9.73,36.14,19.42,13.11,2.99
18.40,16.30,39.87,28.48,19.47,3.34
17.47,12.40,32.64,27.00,18.51,2.99
29.58,18.00,46.22,30.70,36.83,3.86
9.08,2.19,6.79,4.07,8.29,1.23
7.92,1.95,10.08,7.40,8.68,1.23
11.18,10.70,28.70,22.19,7.71,2.64
10.25,6.08,10.30,8.51,7.91,1.23
6.06,3.41,8.54,7.03,5.98,1.05
7.69,7.78,17.09,9.25,4.24,1.93
5.36,3.16,7.01,5.73,5.59,0.88
6.06,6.08,12.70,6.84,3.86,1.93
5.82,5.84,12.05,7.77,2.89,1.41
3.73,3.89,5.04,3.51,2.31,1.23
11.88,11.67,36.14,13.32,8.29,3.51
24.92,9.00,15.77,9.25,15.81,2.46
13.28,5.59,6.35,4.81,13.11,1.93
28.18,9.73,13.58,10.54,19.67,5.09
19.33,10.94,15.11,17.76,17.55,8.61
169.33,53.26,204.59,152.40,166.40,16.86
26.09,22.86,10.51,16.46,9.64,7.73
19.33,16.05,14.24,17.39,16.39,8.08
32.14,21.16,29.57,25.15,23.72,10.36
11.65,11.19,4.16,8.14,3.47,3.86
12.81,11.19,11.61,12.95,10.99,5.80
51.24,45.97,50.60,45.50,36.25,11.07
18.17,16.30,15.77,13.87,12.73,5.62
33.31,16.05,40.30,33.85,31.81,6.50
35.87,19.21,36.58,31.07,28.54,5.27
50.78,33.56,133.84,91.37,93.13,10.01
49.38,49.62,52.13,46.42,31.04,8.26
41.69,23.84,46.22,39.21,35.86,5.27
76.63,34.78,152.24,76.20,121.47,11.42
63.59,58.13,187.94,56.23,46.28,13.35
52.17,31.13,115.22,35.51,94.67,8.61
50.78,45.97,170.64,51.05,38.95,12.47
99.22,78.80,128.14,67.69,117.23,20.73
80.59,72.24,94.63,52.71,37.79,14.40
58.70,52.05,189.70,50.49,113.18,12.65
58.93,36.97,80.83,66.40,16.58,6.15
32.61,11.92,10.95,8.14,19.47,3.86
1.16,5.59,17.30,15.54,3.66,1.76
22.59,21.16,23.44,20.90,9.06,3.34
16.30,14.11,13.58,11.84,10.41,5.09
6.75,6.08,3.94,4.81,4.82,2.46
11.65,9.24,14.68,12.76,10.22,2.11
24.69,18.97,21.47,18.87,16.20,6.68
15.37,14.35,15.55,16.09,8.48,6.68
44.72,43.05,62.21,54.75,30.27,5.97
14.91,14.11,5.70,9.99,3.28,4.39
9.78,9.24,8.54,9.99,4.05,4.22
32.14,31.86,48.85,43.46,27.19,6.15
31.44,33.56,26.07,25.71,8.87,7.91
11.18,13.38,6.57,12.58,3.09,5.62
54.97,50.59,78.86,73.06,48.78,21.61
49.61,45.72,28.26,29.78,14.65,12.12
6.29,4.62,1.53,1.66,1.16,2.11
6.99,4.13,5.04,6.10,6.17,3.16
35.40,31.13,52.79,47.16,39.33,10.36
125.78,60.56,128.58,109.49,99.88,13.70
17.70,16.54,12.70,13.50,6.36,5.45
16.07,14.59,17.30,16.09,10.60,5.97
27.72,30.16,34.61,30.89,14.65,4.22
12.34,14.11,12.27,11.84,4.63,3.86
16.30,15.32,21.03,18.87,12.34,3.51
27.02,38.91,63.09,59.37,12.73,6.15
6.52,26.02,24.10,24.60,5.01,4.22
31.44,25.29,41.18,34.96,29.69,4.39
37.73,15.81,33.51,22.01,26.61,3.69
13.51,6.08,12.49,10.54,9.83,2.64
14.21,12.40,21.25,18.68,15.23,2.99
39.60,33.81,47.53,41.80,29.89,6.32
24.69,22.62,21.90,19.60,13.30,4.74
14.67,13.13,15.77,14.24,9.45,2.99
20.96,18.73,29.13,25.52,20.82,4.39
27.48,24.57,23.22,20.90,16.58,7.55
11.88,11.19,11.39,10.91,5.59,4.22
15.61,15.81,21.25,19.05,10.60,2.64
14.44,19.46,24.53,21.64,6.94,2.64
12.58,17.03,8.54,15.54,3.66,5.62
14.44,19.46,14.46,18.13,4.43,5.45
18.63,18.97,24.53,21.08,13.88,2.64
10.02,8.03,18.62,14.24,11.95,2.11
10.02,10.22,12.05,10.54,6.36,1.58
4.89,5.59,12.49,9.80,4.43,1.41
7.92,10.46,12.92,11.84,3.66,1.93
3.49,5.84,3.07,5.36,1.35,2.28
8.85,7.78,10.30,9.06,7.52,1.93
6.75,8.27,3.72,6.84,1.74,2.46
8.39,9.97,11.83,10.54,5.59,2.11
7.45,11.43,6.35,9.43,2.12,2.28
5.82,9.24,10.30,9.80,3.09,2.46
14.67,13.86,14.24,13.13,7.33,3.86
10.95,10.22,9.86,9.43,7.71,4.22
13.51,6.81,12.49,11.28,10.41,4.92
6.52,14.35,6.35,13.32,3.09,2.46
25.85,24.08,21.47,23.30,5.98,5.62
27.72,27.00,31.76,27.37,23.52,4.22
20.73,23.11,25.41,23.67,12.92,8.43
30.98,27.24,26.07,26.63,16.20,11.24
32.38,12.89,35.05,29.41,27.19,5.45
28.18,12.16,33.73,14.61,26.22,3.16
33.77,29.43,37.02,31.26,28.54,4.92
23.06,26.51,16.87,22.75,6.56,9.49
19.33,9.00,21.25,13.50,16.77,2.64
8.15,7.54,2.41,3.70,1.74,2.99
11.18,10.46,10.30,11.47,8.29,5.09
17.93,16.54,5.70,12.02,3.86,5.80
4.66,9.00,3.94,8.32,2.12,4.22
27.25,20.43,30.01,26.26,22.95,5.80
22.59,21.16,25.41,21.64,19.47,3.34
19.57,11.19,27.16,23.67,17.74,3.86
11.88,10.70,24.75,9.99,14.65,3.34
27.02,20.92,27.82,23.30,21.40,3.34
27.72,25.78,26.94,24.78,12.34,7.91
24.22,11.67,31.10,25.52,23.91,3.34
11.88,10.46,18.84,9.43,14.85,3.34
31.91,29.43,34.17,29.59,26.61,8.08
51.01,20.19,54.54,48.09,42.23,15.63
32.84,18.00,54.98,23.30,43.00,4.74
38.43,35.02,40.96,34.77,31.81,6.15
44.72,43.05,25.85,34.22,7.71,11.24
19.33,15.81,45.34,34.40,34.90,4.04
22.36,12.40,26.50,11.28,25.45,3.86
31.21,30.16,31.54,28.30,22.95,11.77
